Duration (ms),Start date,Start station,End date,End station,Bike number,Subscription type
1761773,6/30/2015 23:58,17th St & Massachusetts Ave NW,7/1/2015 0:27,USDA / 12th & Independence Ave SW,W21320,Casual
193188,6/30/2015 23:58,5th & K St NW,7/1/2015 0:01,3rd & H St NW,W20832,Member
2895041,6/30/2015 23:57,Jefferson Dr & 14th St SW,7/1/2015 0:45,Jefferson Dr & 14th St SW,W21519,Casual
2845488,6/30/2015 23:57,Jefferson Dr & 14th St SW,7/1/2015 0:44,Jefferson Dr & 14th St SW,W00335,Casual
1130426,6/30/2015 23:57,Park Rd & Holmead Pl NW,7/1/2015 0:16,1st & Rhode Island Ave NW,W20576,Member
684472,6/30/2015 23:57,11th & S St NW,7/1/2015 0:08,1st & M St NE,W21338,Member
1345663,6/30/2015 23:56,36th & Calvert St NW / Glover Park,7/1/2015 0:18,4th & E St SW,W00219,Member
879294,6/30/2015 23:55,14th & Rhode Island Ave NW,7/1/2015 0:10,21st & M St NW,W20990,Casual
3382291,6/30/2015 23:54,14th St & New York Ave NW,7/1/2015 0:50,13th St & New York Ave NW,W22102,Casual
3062604,6/30/2015 23:54,Jefferson Dr & 14th St SW,7/1/2015 0:45,Jefferson Dr & 14th St SW,W00530,Casual
3030655,6/30/2015 23:54,Jefferson Dr & 14th St SW,7/1/2015 0:44,Jefferson Dr & 14th St SW,W21332,Casual
928668,6/30/2015 23:54,14th & R St NW,7/1/2015 0:10,11th & Kenyon St NW,W01192,Member
834875,6/30/2015 23:54,1st & H St NW,7/1/2015 0:08,18th & R St NW,W21911,Member
601419,6/30/2015 23:54,17th St & Massachusetts Ave NW,7/1/2015 0:04,Adams Mill & Columbia Rd NW,W21765,Member
502546,6/30/2015 23:54,15th & Euclid St  NW,7/1/2015 0:02,Thomas Circle,W00958,Member
248681,6/30/2015 23:54,Clarendon Metro / Wilson Blvd & N Highland St,6/30/2015 23:58,Wilson Blvd & N Uhle St,W00076,Member
1134027,6/30/2015 23:53,USDA / 12th & Independence Ave SW,7/1/2015 0:12,5th & K St NW,W21816,Member
713124,6/30/2015 23:52,Massachusetts Ave & Dupont Circle NW,7/1/2015 0:04,17th & Corcoran St NW,W00210,Member
174580,6/30/2015 23:52,Calvert St & Woodley Pl NW,6/30/2015 23:55,Adams Mill & Columbia Rd NW,W21437,Member
2667643,6/30/2015 23:51,3000 Connecticut Ave NW / National Zoo,7/1/2015 0:36,New Hampshire Ave & 24th St NW,W00939,Member
2170247,6/30/2015 23:51,17th & Rhode Island Ave NW,7/1/2015 0:27,USDA / 12th & Independence Ave SW,W22236,Casual
731664,6/30/2015 23:50,5th St & Massachusetts Ave NW,7/1/2015 0:02,Eastern Market / 7th & North Carolina Ave SE,W21565,Member
2080965,6/30/2015 23:48,Calvert St & Woodley Pl NW,7/1/2015 0:23,Union Market/6th St & Neal Pl NE,W01325,Member
450133,6/30/2015 23:48,1st & M St NE,6/30/2015 23:56,5th & K St NW,W00352,Member
560478,6/30/2015 23:46,8th & H St NW,6/30/2015 23:56,18th & R St NW,W21161,Member
212287,6/30/2015 23:45,17th & Corcoran St NW,6/30/2015 23:48,Massachusetts Ave & Dupont Circle NW,W00210,Member
381555,6/30/2015 23:44,5th St & Massachusetts Ave NW,6/30/2015 23:51,Metro Center / 12th & G St NW,W21504,Member
605629,6/30/2015 23:43,Metro Center / 12th & G St NW,6/30/2015 23:53,14th & R St NW,W20865,Member
598610,6/30/2015 23:43,Metro Center / 12th & G St NW,6/30/2015 23:53,14th & R St NW,W01192,Member
546406,6/30/2015 23:43,17th & K St NW / Farragut Square,6/30/2015 23:52,20th St & Florida Ave NW,W21888,Member
1554613,6/30/2015 23:42,Georgia & New Hampshire Ave NW,7/1/2015 0:08,1st & K St SE,W21763,Member
1546318,6/30/2015 23:42,18th St & Wyoming Ave NW,7/1/2015 0:07,Bladensburg Rd & Benning Rd NE,W00710,Member
695002,6/30/2015 23:42,Jefferson Dr & 14th St SW,6/30/2015 23:54,4th & East Capitol St NE,W00523,Casual
343653,6/30/2015 23:42,14th & R St NW,6/30/2015 23:47,7th & T St NW,W00933,Casual
269173,6/30/2015 23:42,14th & Belmont St NW,6/30/2015 23:47,California St & Florida Ave NW,W01131,Member
252419,6/30/2015 23:42,Clarendon Metro / Wilson Blvd & N Highland St,6/30/2015 23:46,Washington Blvd & 7th St N,W20277,Member
616264,6/30/2015 23:40,17th & Corcoran St NW,6/30/2015 23:50,20th & E St NW,W01467,Member
441375,6/30/2015 23:40,24th & N St NW,6/30/2015 23:48,15th & L St NW,W20809,Member
1640948,6/30/2015 23:39,19th & E Street NW,7/1/2015 0:06,US Dept of State / Virginia Ave & 21st St NW,W01461,Casual
1004486,6/30/2015 23:38,7th & F St NW / National Portrait Gallery,6/30/2015 23:54,13th & H St NE,W21933,Member
721930,6/30/2015 23:37,15th & Euclid St  NW,6/30/2015 23:49,New Hampshire Ave & 24th St NW,W00648,Member
328113,6/30/2015 23:37,27th & Crystal Dr,6/30/2015 23:43,Crystal City Metro / 18th & Bell St,W20234,Member
796883,6/30/2015 23:36,16th & Harvard St NW,6/30/2015 23:49,5th St & Massachusetts Ave NW,W21537,Member
549935,6/30/2015 23:36,14th & Rhode Island Ave NW,6/30/2015 23:45,Florida Ave & R St NW,W00044,Member
396874,6/30/2015 23:36,Adams Mill & Columbia Rd NW,6/30/2015 23:42,Lamont & Mt Pleasant NW,W00782,Member
319174,6/30/2015 23:36,N Randolph St & Fairfax Dr,6/30/2015 23:41,Fairfax Dr & Wilson Blvd,W20046,Member
501207,6/30/2015 23:35,S Glebe & Potomac Ave,6/30/2015 23:43,20th & Bell St,W20493,Casual
1200044,6/30/2015 23:34,Tenleytown / Wisconsin Ave & Albemarle St NW,6/30/2015 23:54,14th & Harvard St NW,W00312,Member
533088,6/30/2015 23:34,14th & Rhode Island Ave NW,6/30/2015 23:43,24th & N St NW,W21874,Member
454541,6/30/2015 23:34,14th & R St NW,6/30/2015 23:42,7th & T St NW,W21375,Member
330003,6/30/2015 23:34,12th & U St NW,6/30/2015 23:39,11th & M St NW,W20149,Member
1387029,6/30/2015 23:33,7th & T St NW,6/30/2015 23:56,7th & R St NW / Shaw Library,W22238,Member
691724,6/30/2015 23:33,18th St & Pennsylvania Ave NW,6/30/2015 23:45,5th & K St NW,W20832,Member
171650,6/30/2015 23:33,Ballenger Ave & Dulaney St,6/30/2015 23:36,King St Metro,W20206,Member
1633401,6/30/2015 23:32,25th St & Pennsylvania Ave NW,6/30/2015 23:59,Court House Metro / 15th & N Uhle St ,W20375,Member
744153,6/30/2015 23:32,17th & K St NW,6/30/2015 23:44,Georgia Ave and Fairmont St NW,W20681,Member
451724,6/30/2015 23:32,17th & K St NW / Farragut Square,6/30/2015 23:39,New Hampshire Ave & T St NW,W01189,Member
243618,6/30/2015 23:32,18th St & Wyoming Ave NW,6/30/2015 23:36,17th & Corcoran St NW,W22216,Member
423760,6/30/2015 23:31,14th & Belmont St NW,6/30/2015 23:38,17th & Corcoran St NW,W21355,Member
1197172,6/30/2015 23:30,Lincoln Memorial,6/30/2015 23:50,Lynn & 19th St North,W21843,Casual
786714,6/30/2015 23:30,Lincoln Memorial,6/30/2015 23:43,22nd & I St NW / Foggy Bottom,W00892,Member
495145,6/30/2015 23:30,Lincoln Memorial,6/30/2015 23:38,20th & E St NW,W21689,Casual
989412,6/30/2015 23:28,Columbus Circle / Union Station,6/30/2015 23:45,Bladensburg Rd & Benning Rd NE,W01281,Member
688986,6/30/2015 23:28,Columbus Circle / Union Station,6/30/2015 23:39,Lincoln Park / 13th & East Capitol St NE ,W21172,Member
242262,6/30/2015 23:28,Tenleytown / Wisconsin Ave & Albemarle St NW,6/30/2015 23:32,Connecticut & Nebraska Ave NW,W21223,Member
454874,6/30/2015 23:27,Potomac & Pennsylvania Ave SE,6/30/2015 23:34,15th & East Capitol St NE,W00190,Member
1253561,6/30/2015 23:26,MLK Library/9th & G St NW,6/30/2015 23:47,MLK Library/9th & G St NW,W20608,Casual
452408,6/30/2015 23:26,New Hampshire Ave & 24th St NW,6/30/2015 23:33,Massachusetts Ave & Dupont Circle NW,W20947,Member
270580,6/30/2015 23:26,3rd & H St NE,6/30/2015 23:31,13th & H St NE,W20409,Member
1364717,6/30/2015 23:25,Eastern Market / 7th & North Carolina Ave SE,6/30/2015 23:48,3rd & Elm St NW,W22143,Member
898748,6/30/2015 23:25,10th & E St NW,6/30/2015 23:40,3rd St & Pennsylvania Ave SE,W00817,Member
761700,6/30/2015 23:25,18th & R St NW,6/30/2015 23:38,Convention Center / 7th & M St NW,W20344,Member
716440,6/30/2015 23:25,1st & Rhode Island Ave NW,6/30/2015 23:36,3rd & H St NE,W22194,Member
626546,6/30/2015 23:25,5th St & Massachusetts Ave NW,6/30/2015 23:35,14th & Rhode Island Ave NW,W01305,Member
887940,6/30/2015 23:24,15th & L St NW,6/30/2015 23:39,3rd & Elm St NW,W20613,Member
327399,6/30/2015 23:24,8th & F St NE,6/30/2015 23:29,Neal St & Trinidad Ave NE,W21133,Member
279905,6/30/2015 23:23,11th & Kenyon St NW,6/30/2015 23:28,Lamont & Mt Pleasant NW,W01449,Member
3106442,6/30/2015 23:21,12th & U St NW,7/1/2015 0:13,17th & K St NW,W00971,Casual
2305349,6/30/2015 23:21,12th & U St NW,7/1/2015 0:00,17th & G St NW,W21100,Casual
976876,6/30/2015 23:21,7th & T St NW,6/30/2015 23:37,3rd & Elm St NW,W21228,Casual
774365,6/30/2015 23:21,18th & R St NW,6/30/2015 23:34,Park Rd & Holmead Pl NW,W00477,Member
610446,6/30/2015 23:21,M St & Pennsylvania Ave NW,6/30/2015 23:32,15th & K St NW,W20935,Member
400831,6/30/2015 23:21,Park Rd & Holmead Pl NW,6/30/2015 23:27,10th & Florida Ave NW,W20156,Member
393924,6/30/2015 23:21,Park Rd & Holmead Pl NW,6/30/2015 23:27,10th & Florida Ave NW,W20712,Member
281160,6/30/2015 23:21,16th & Harvard St NW,6/30/2015 23:25,11th & Kenyon St NW,W21269,Member
254346,6/30/2015 23:21,5th & K St NW,6/30/2015 23:25,11th & M St NW,W01048,Member
208362,6/30/2015 23:21,Lincoln Park / 13th & East Capitol St NE ,6/30/2015 23:24,13th & H St NE,W20666,Member
2381313,6/30/2015 23:20,12th & U St NW,7/1/2015 0:00,17th & G St NW,W20852,Casual
1464773,6/30/2015 23:20,3rd St & Pennsylvania Ave SE,6/30/2015 23:44,5th St & Massachusetts Ave NW,W00730,Casual
1421424,6/30/2015 23:20,3rd St & Pennsylvania Ave SE,6/30/2015 23:44,5th St & Massachusetts Ave NW,W20456,Casual
1046166,6/30/2015 23:20,7th & T St NW,6/30/2015 23:37,3rd & Elm St NW,W21737,Casual
466801,6/30/2015 23:20,7th & T St NW,6/30/2015 23:28,1st & Rhode Island Ave NW,W01207,Casual
437874,6/30/2015 23:20,14th & Rhode Island Ave NW,6/30/2015 23:28,7th & T St NW,W00668,Member
2458559,6/30/2015 23:19,12th & U St NW,7/1/2015 0:00,17th & G St NW,W00570,Casual
822940,6/30/2015 23:19,5th St & Massachusetts Ave NW,6/30/2015 23:33,10th & U St NW,W21187,Casual
670308,6/30/2015 23:19,17th & Corcoran St NW,6/30/2015 23:30,Harvard St & Adams Mill Rd NW,W00804,Member
402516,6/30/2015 23:19,5th St & Massachusetts Ave NW,6/30/2015 23:26,11th & M St NW,W00336,Member
238139,6/30/2015 23:19,14th & V St NW,6/30/2015 23:23,California St & Florida Ave NW,W00196,Member
111252,6/30/2015 23:19,New Hampshire Ave & T St NW,6/30/2015 23:21,17th & Corcoran St NW,W01467,Member
1367118,6/30/2015 23:18,5th & K St NW,6/30/2015 23:41,Park Rd & Holmead Pl NW,W22189,Member
684081,6/30/2015 23:18,20th & E St NW,6/30/2015 23:29,11th & K St NW,W21277,Casual
666981,6/30/2015 23:18,Fairfax Dr & Kenmore St,6/30/2015 23:29,Key Blvd & N Quinn St,W22217,Member
155185,6/30/2015 23:18,Court House Metro / 15th & N Uhle St ,6/30/2015 23:21,Clarendon Blvd & Pierce St,W00130,Member
1018364,6/30/2015 23:17,25th St & Pennsylvania Ave NW,6/30/2015 23:33,1st & H St NW,W20528,Member
707552,6/30/2015 23:16,17th & K St NW,6/30/2015 23:28,14th & G St NW,W00777,Member
299989,6/30/2015 23:16,Park Rd & Holmead Pl NW,6/30/2015 23:21,Lamont & Mt Pleasant NW,W00810,Member
1964649,6/30/2015 23:15,13th & H St NE,6/30/2015 23:47,15th & Euclid St  NW,W00281,Member
119530,6/30/2015 23:15,New York Ave & 15th St NW,6/30/2015 23:17,New York Ave & 15th St NW,W21741,Casual
747774,6/30/2015 23:14,13th & H St NE,6/30/2015 23:27,Columbus Circle / Union Station,W21367,Member
307153,6/30/2015 23:14,11th & Kenyon St NW,6/30/2015 23:19,16th & Harvard St NW,W20615,Member
1823794,6/30/2015 23:13,Georgetown Harbor / 30th St NW,6/30/2015 23:44,Park Rd & Holmead Pl NW,W20011,Casual
1361360,6/30/2015 23:13,18th St & Wyoming Ave NW,6/30/2015 23:35,7th & F St NW / National Portrait Gallery,W21933,Member
3431218,6/30/2015 23:11,8th & Eye St SE / Barracks Row,7/1/2015 0:08,Eastern Market / 7th & North Carolina Ave SE,W20468,Member
2556552,6/30/2015 23:11,M St & New Jersey Ave SE,6/30/2015 23:54,Lincoln Memorial,W00819,Casual
1699906,6/30/2015 23:11,10th & U St NW,6/30/2015 23:40,13th & H St NE,W00733,Member
836279,6/30/2015 23:09,8th & Eye St SE / Barracks Row,6/30/2015 23:23,Anacostia Ave & Benning Rd NE / River Terrace ,W21174,Member
176090,6/30/2015 23:09,Columbia Pike & S Walter Reed Dr,6/30/2015 23:12,Walter Reed Community Center / Walter Reed Dr & 16th St S,W01126,Member
1670211,6/30/2015 23:08,3rd & D St SE,6/30/2015 23:36,Jefferson Dr & 14th St SW,W20639,Member
1641801,6/30/2015 23:08,3rd & D St SE,6/30/2015 23:36,Jefferson Dr & 14th St SW,W20878,Member
211248,6/30/2015 23:08,11th & S St NW,6/30/2015 23:12,10th & Florida Ave NW,W21757,Member
144217,6/30/2015 23:08,20th & O St NW / Dupont South,6/30/2015 23:10,24th & N St NW,W20809,Member
408186,6/30/2015 23:07,Eisenhower Ave & Mill Race Ln,6/30/2015 23:13,Braddock Rd Metro,W21205,Member
1340039,6/30/2015 23:06,11th & M St NW,6/30/2015 23:28,1st & N St  SE,W20578,Member
1238561,6/30/2015 23:06,13th & H St NE,6/30/2015 23:27,Columbus Circle / Union Station,W01368,Member
1166275,6/30/2015 23:06,7th & R St NW / Shaw Library,6/30/2015 23:25,7th & R St NW / Shaw Library,W00552,Member
390600,6/30/2015 23:06,13th & H St NE,6/30/2015 23:13,3rd & H St NE,W20828,Member
616757,6/30/2015 23:05,8th & F St NE,6/30/2015 23:16,6th St & Indiana Ave NW,W00546,Member
534082,6/30/2015 23:05,3rd & H St NW,6/30/2015 23:14,11th & S St NW,W00987,Member
302095,6/30/2015 23:05,14th & Rhode Island Ave NW,6/30/2015 23:10,11th & M St NW,W00565,Member
248463,6/30/2015 23:05,17th & K St NW,6/30/2015 23:09,Thomas Circle,W21221,Member
1554364,6/30/2015 23:04,19th & L St NW,6/30/2015 23:30,Eckington Pl & Q St NE,W21771,Member
6105500,6/30/2015 23:03,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,7/1/2015 0:45,Georgetown Harbor / 30th St NW,W21376,Casual
1953840,6/30/2015 23:03,8th & D St NW,6/30/2015 23:35,16th & Harvard St NW,W00261,Member
1596955,6/30/2015 23:02,18th & R St NW,6/30/2015 23:29,4th & W St NE,W22104,Member
1430667,6/30/2015 23:02,15th & L St NW,6/30/2015 23:26,3rd & G St SE,W00397,Member
856193,6/30/2015 23:02,23rd & E St NW ,6/30/2015 23:16,22nd & I St NW / Foggy Bottom,W21209,Casual
717625,6/30/2015 23:02,15th & P St NW,6/30/2015 23:14,11th & Kenyon St NW,W21399,Member
283721,6/30/2015 23:02,18th & R St NW,6/30/2015 23:06,14th & V St NW,W00259,Member
255331,6/30/2015 23:02,16th & Harvard St NW,6/30/2015 23:06,17th & Corcoran St NW,W20346,Member
586551,6/30/2015 23:01,New Hampshire Ave & 24th St NW,6/30/2015 23:11,20th St & Florida Ave NW,W22190,Member
491380,6/30/2015 23:01,17th & Corcoran St NW,6/30/2015 23:10,7th & T St NW,W21613,Member
336955,6/30/2015 23:01,Wilson Blvd & N Uhle St,6/30/2015 23:07,N Adams St & Lee Hwy,W20376,Member
253274,6/30/2015 23:01,7th & T St NW,6/30/2015 23:05,14th & R St NW,W21375,Member
208379,6/30/2015 23:01,Wilson Blvd & N Uhle St,6/30/2015 23:04,N Adams St & Lee Hwy,W00266,Member
1148698,6/30/2015 23:00,California St & Florida Ave NW,6/30/2015 23:19,Georgia & New Hampshire Ave NW,W00859,Member
894517,6/30/2015 23:00,5th & K St NW,6/30/2015 23:15,17th & Corcoran St NW,W00381,Member
342037,6/30/2015 23:00,11th & Kenyon St NW,6/30/2015 23:05,14th & Belmont St NW,W21355,Member
1539400,6/30/2015 22:59,Maryland & Independence Ave SW,6/30/2015 23:24,Lincoln Memorial,W21689,Casual
1513815,6/30/2015 22:59,Maryland & Independence Ave SW,6/30/2015 23:24,Lincoln Memorial,W21843,Casual
1500157,6/30/2015 22:59,Maryland & Independence Ave SW,6/30/2015 23:24,Lincoln Memorial,W00892,Member
584451,6/30/2015 22:59,17th & K St NW / Farragut Square,6/30/2015 23:08,11th & M St NW,W21698,Casual
229254,6/30/2015 22:59,21st & I St NW,6/30/2015 23:03,25th St & Pennsylvania Ave NW,W20375,Member
316066,6/30/2015 22:58,3rd St & Pennsylvania Ave SE,6/30/2015 23:03,2nd & G St NE,W00100,Member
219948,6/30/2015 22:58,Wilson Blvd & N Uhle St,6/30/2015 23:02,N Adams St & Lee Hwy,W20773,Member
122755,6/30/2015 22:58,21st & I St NW,6/30/2015 23:00,New Hampshire Ave & 24th St NW,W20947,Member
514120,6/30/2015 22:57,D St & Maryland Ave NE,6/30/2015 23:06,14th & D St SE,W00330,Member
142056,6/30/2015 22:57,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,6/30/2015 22:59,Iwo Jima Memorial/N Meade & 14th St N,W20918,Member
253967,6/30/2015 22:56,14th & V St NW,6/30/2015 23:01,20th St & Florida Ave NW,W20238,Member
1449237,6/30/2015 22:55,Potomac & Pennsylvania Ave SE,6/30/2015 23:19,14th & Rhode Island Ave NW,W00685,Member
930959,6/30/2015 22:55,19th & East Capitol St SE,6/30/2015 23:11,1st & M St NE,w00644,Member
883799,6/30/2015 22:55,6th St & Indiana Ave NW,6/30/2015 23:10,12th & U St NW,W20149,Member
463543,6/30/2015 22:55,17th & Corcoran St NW,6/30/2015 23:02,11th & M St NW,W20578,Member
367436,6/30/2015 22:55,North Capitol St & F St NW,6/30/2015 23:01,5th & K St NW,W21125,Member
308116,6/30/2015 22:55,17th & K St NW / Farragut Square,6/30/2015 23:01,17th & Corcoran St NW,W00804,Member
477254,6/30/2015 22:54,15th & P St NW,6/30/2015 23:02,10th & U St NW,W21175,Member
388599,6/30/2015 22:54,11th & M St NW,6/30/2015 23:00,New Jersey Ave & N St NW/Dunbar HS,W20556,Member
416201,6/30/2015 22:53,11th & M St NW,6/30/2015 23:00,New Jersey Ave & N St NW/Dunbar HS,W00942,Member
2772025,6/30/2015 22:52,US Dept of State / Virginia Ave & 21st St NW,6/30/2015 23:38,New York Ave & 15th St NW,W20727,Casual
1289412,6/30/2015 22:52,18th & R St NW,6/30/2015 23:14,M St & Delaware Ave NE,W20259,Member
1199634,6/30/2015 22:52,18th & R St NW,6/30/2015 23:12,1st & M St NE,W22205,Member
825741,6/30/2015 22:52,18th & R St NW,6/30/2015 23:06,14th & Harvard St NW,W21311,Member
649685,6/30/2015 22:52,Park Rd & Holmead Pl NW,6/30/2015 23:03,20th & O St NW / Dupont South,W20809,Member
251786,6/30/2015 22:52,Ballston Metro / N Stuart & 9th St N,6/30/2015 22:56,Ballston Metro / N Stuart & 9th St N,W01228,Casual
2783956,6/30/2015 22:51,US Dept of State / Virginia Ave & 21st St NW,6/30/2015 23:38,New York Ave & 15th St NW,W00700,Casual
601687,6/30/2015 22:51,Columbia Rd & Belmont St NW,6/30/2015 23:01,11th & Kenyon St NW,W01449,Member
595353,6/30/2015 22:51,Rhode Island Ave & V St NE,6/30/2015 23:01,California St & Florida Ave NW,W00675,Member
359626,6/30/2015 22:51,14th & Belmont St NW,6/30/2015 22:57,17th & Corcoran St NW,W21613,Member
322571,6/30/2015 22:51,N Randolph St & Fairfax Dr,6/30/2015 22:56,Ballston Metro / N Stuart & 9th St N,W01397,Casual
318195,6/30/2015 22:51,N Randolph St & Fairfax Dr,6/30/2015 22:56,Ballston Metro / N Stuart & 9th St N,W21009,Casual
1532325,6/30/2015 22:50,1st & Rhode Island Ave NW,6/30/2015 23:16,14th St & Colorado Ave NW,W21555,Member
844838,6/30/2015 22:50,10th & E St NW,6/30/2015 23:04,1st & Rhode Island Ave NW,W00034,Member
722049,6/30/2015 22:50,1st & M St NE,6/30/2015 23:02,12th & L St NW,W21545,Member
719743,6/30/2015 22:50,1st & M St NE,6/30/2015 23:02,12th & L St NW,W00123,Member
696516,6/30/2015 22:50,11th & M St NW,6/30/2015 23:02,15th & L St NW,W20613,Casual
622251,6/30/2015 22:50,Jefferson Dr & 14th St SW,6/30/2015 23:00,4th & East Capitol St NE,W21406,Casual
101932,6/30/2015 22:50,Bethesda Metro,6/30/2015 22:52,47th & Elm St,W21449,Member
1208950,6/30/2015 22:49,New York Ave & 15th St NW,6/30/2015 23:09,14th & Rhode Island Ave NW,W00044,Casual
1126099,6/30/2015 22:49,Columbus Circle / Union Station,6/30/2015 23:08,Bladensburg Rd & Benning Rd NE,W20395,Member
658152,6/30/2015 22:49,10th & U St NW,6/30/2015 23:00,1st & H St NW,W00637,Member
647587,6/30/2015 22:49,1st & M St NE,6/30/2015 23:00,11th & S St NW,W21429,Member
617624,6/30/2015 22:49,Connecticut Ave & Newark St NW / Cleveland Park,6/30/2015 23:00,Park Rd & Holmead Pl NW,W22192,Member
529511,6/30/2015 22:49,14th & V St NW,6/30/2015 22:58,New Jersey Ave & N St NW/Dunbar HS,W21925,Member
304348,6/30/2015 22:49,14th & Rhode Island Ave NW,6/30/2015 22:54,11th & M St NW,W22001,Member
235886,6/30/2015 22:49,11th & Kenyon St NW,6/30/2015 22:53,Park Rd & Holmead Pl NW,W20327,Member
1460163,6/30/2015 22:48,15th & P St NW,6/30/2015 23:12,1st & M St NE,W21055,Member
1255947,6/30/2015 22:48,20th St & Florida Ave NW,6/30/2015 23:09,20th St & Florida Ave NW,W21483,Member
1241608,6/30/2015 22:48,New York Ave & 15th St NW,6/30/2015 23:09,14th & Rhode Island Ave NW,W01221,Casual
890267,6/30/2015 22:48,Convention Center / 7th & M St NW,6/30/2015 23:03,4th & M St SW,W21153,Member
581349,6/30/2015 22:48,Georgia & New Hampshire Ave NW,6/30/2015 22:57,9th & Upshur St NW,W20486,Member
559856,6/30/2015 22:48,Park Rd & Holmead Pl NW,6/30/2015 22:58,14th & Rhode Island Ave NW,W01030,Member
466552,6/30/2015 22:48,Good Hope Rd & 14th St SE,6/30/2015 22:56,Potomac Ave & 8th St SE,W20388,Member
860672,6/30/2015 22:47,1st & H St NW,6/30/2015 23:01,4th & M St SW,W00743,Member
815061,6/30/2015 22:47,5th St & Massachusetts Ave NW,6/30/2015 23:00,15th St & Massachusetts Ave SE,W21159,Member
632003,6/30/2015 22:47,Georgia & New Hampshire Ave NW,6/30/2015 22:57,9th & Upshur St NW,W21509,Member
534815,6/30/2015 22:47,N Randolph St & Fairfax Dr,6/30/2015 22:56,Ballston Metro / N Stuart & 9th St N,W20420,Casual
441310,6/30/2015 22:47,N Randolph St & Fairfax Dr,6/30/2015 22:55,Ballston Metro / N Stuart & 9th St N,W20907,Casual
400367,6/30/2015 22:47,Columbus Circle / Union Station,6/30/2015 22:54,3rd St & Pennsylvania Ave SE,W01043,Member
398229,6/30/2015 22:47,Columbus Circle / Union Station,6/30/2015 22:54,15th & F St NE,w00765,Member
271191,6/30/2015 22:47,18th St & Wyoming Ave NW,6/30/2015 22:52,17th & Corcoran St NW,W21950,Member
1189886,6/30/2015 22:46,18th & R St NW,6/30/2015 23:05,14th & Harvard St NW,W21966,Casual
456180,6/30/2015 22:46,15th & K St NW,6/30/2015 22:53,15th & P St NW,W21175,Member
159043,6/30/2015 22:46,22nd & I St NW / Foggy Bottom,6/30/2015 22:49,25th St & Pennsylvania Ave NW,W20477,Member
7212919,6/30/2015 22:45,Iwo Jima Memorial/N Meade & 14th St N,7/1/2015 0:45,Georgetown Harbor / 30th St NW,W22018,Casual
1227674,6/30/2015 22:45,18th & R St NW,6/30/2015 23:05,14th & Harvard St NW,W21663,Casual
483722,6/30/2015 22:45,15th & K St NW,6/30/2015 22:53,15th & P St NW,W21399,Member
361569,6/30/2015 22:45,Adams Mill & Columbia Rd NW,6/30/2015 22:51,11th & Kenyon St NW,W20204,Member
1232575,6/30/2015 22:44,8th & D St NW,6/30/2015 23:04,D St & Maryland Ave NE,W00192,Member
1078940,6/30/2015 22:44,Lamont & Mt Pleasant NW,6/30/2015 23:02,Lamont & Mt Pleasant NW,W20924,Member
628980,6/30/2015 22:44,N Randolph St & Fairfax Dr,6/30/2015 22:55,Ballston Metro / N Stuart & 9th St N,W20888,Casual
615000,6/30/2015 22:44,N Randolph St & Fairfax Dr,6/30/2015 22:54,Ballston Metro / N Stuart & 9th St N,W20529,Casual
556213,6/30/2015 22:44,7th & T St NW,6/30/2015 22:53,5th & K St NW,W00367,Member
490828,6/30/2015 22:44,Massachusetts Ave & Dupont Circle NW,6/30/2015 22:52,18th & R St NW,W22205,Member
396477,6/30/2015 22:44,14th & V St NW,6/30/2015 22:51,17th St & Massachusetts Ave NW,W21765,Member
380750,6/30/2015 22:44,14th & V St NW,6/30/2015 22:51,17th St & Massachusetts Ave NW,W21320,Member
364705,6/30/2015 22:44,Potomac & Pennsylvania Ave SE,6/30/2015 22:51,15th St & Massachusetts Ave SE,W20002,Member
303879,6/30/2015 22:44,New Hampshire Ave & T St NW,6/30/2015 22:49,10th & U St NW,W21412,Member
244996,6/30/2015 22:44,Saint Asaph St & Pendleton  St,6/30/2015 22:48,King St & Patrick St,W20573,Member
7324057,6/30/2015 22:43,Iwo Jima Memorial/N Meade & 14th St N,7/1/2015 0:45,Georgetown Harbor / 30th St NW,W00558,Casual
372215,6/30/2015 22:43,17th St & Massachusetts Ave NW,6/30/2015 22:49,12th & L St NW,W00961,Member
357600,6/30/2015 22:43,Minnesota Ave Metro/DOES,6/30/2015 22:49,Anacostia Ave & Benning Rd NE / River Terrace ,W21444,Member
7389435,6/30/2015 22:42,Iwo Jima Memorial/N Meade & 14th St N,7/1/2015 0:45,Georgetown Harbor / 30th St NW,W21025,Casual
2323962,6/30/2015 22:42,Massachusetts Ave & Dupont Circle NW,6/30/2015 23:21,10th & Florida Ave NW,W20679,Casual
1415795,6/30/2015 22:42,Wilson Blvd & N Oakland St,6/30/2015 23:06,N Quincy St & Wilson Blvd,W21559,Casual
1367308,6/30/2015 22:42,Wilson Blvd & N Oakland St,6/30/2015 23:05,N Quincy St & Wilson Blvd,W20555,Member
447816,6/30/2015 22:42,18th & R St NW,6/30/2015 22:50,7th & T St NW,W21375,Member
1114445,6/30/2015 22:41,Adams Mill & Columbia Rd NW,6/30/2015 22:59,Columbia Rd & Georgia Ave NW,W21814,Member
382359,6/30/2015 22:41,14th & R St NW,6/30/2015 22:47,Convention Center / 7th & M St NW,W01461,Member
